concept_a	concept_b
Arc	Cassandra
green_thread	RBTree
Clang	MAE
Clojure	Haskell
generator	virus
RwLock	normalization
stack	trie
supernova	planet
Higgs	YASM
linux	bash
protein	determinant
lepton	Scala
fiber	trie
Scala	Clojure
script	virus
git	docker
inline	document
number_theory	Racket
symbiosis	tensor
gradient	algebra
NASM	IR
Crystal	number
AVL	block
variance	deque
morpheme	mixin
RMSProp	websocket
Rust	Zig
AST	Ada
conjunction	syntax
gluon	RNA
thread	Python
Lisp	noun
git	rebase
closure	mitosis
AST	goroutine
fraction	glyph
NASM	AdamW
interface	actor
Lisp	batch_norm
actor	PostgreSQL
pragmatics	queue
stream	mass
muon	rational
membrane	LSTM
lock	lexeme
SP	parser
OpenCL	global_memory
membrane	mutation
quark	shader
ribosome	LLVM
constellation	nebula
union_find	await
Nim	F#
stream	DNA
Arc	Clang
Java	VAE
normalization	learning_rate
biodiversity	photosynthesis
SGD	Adam
linked_list	heap
binary_tree	variance
relational	cell
macro	union_find
prime	muon
actor	semaphore
ssh	matrix
C++	Prolog
BTree	array
document	membrane
bash	zsh
Crystal	generator
make	neovim
supernova	GAN
RwLock	topology
eigenvalue	predation
antibody	bytecode
photon	thermodynamics
global_memory	RwLock
cosine_similarity	adverb
protein	shader
scalar	median
bytecode	async
Elixir	chromosome
vim	linux
RBTree	hashmap
NoSQL	number
relational	Scheme
black_hole	asteroid
relativity	electromagnetism
natural	set_theory
GCC	nucleus
make	diffusion
quantum	optics
calculus	enzyme
http	cargo
bacteria	emacs
enzyme	biodiversity
relational	quantum
process	Ada
git	vim
index	process
vim	inline
semaphore	RefCell
attention	alphabet
macro	Racket
ribosome	protein
MySQL	neutron_star
RT_core	typeclass
optics	comet
RNA	vim
Kotlin	priority_queue
deque	coroutine
SWIFTc	optimizer
algebra	decomposition
script	pragmatics
CNN	SGD
alphabet	mitochondria
mechanics	proton
statistics	fraction
mean	chromosome
prime	complex
galaxy	font
CUDA	vscode
scalar	vector
queue	AVL
variance	channel
complex	electron
galaxy	comet
ssh	cmake
gradient	typeclass
neovim	zsh
galaxy	quasar
electron	skip_list
bytecode	Cassandra
conda	Clojure
boson	number_theory
lepton	interpreter
query	species
backprop	logic
Fortran	neural_network
JIT	GAN
DuckDB	probability
attention	AVL
interpreter	mutex
lexeme	Arc
tau	constellation
bytecode	backprop
document	transaction
VAE	neural_network
NASM	YASM
species	gluon
diffusion	biodiversity
Prolog	mutation
batch_norm	cosine_similarity
genome	cytoplasm
function	fiber
kernel	RMSProp
GPU	shader
nebula	meteor
eclipse	Scheme
IR	compiler
normalization	Crystal
Vulkan	fraction
atom	wave
goroutine	script
OpenCL	await
OpenCL	SP
pragmatics	cytoplasm
lepton	relativity
C++	Kotlin
pip	websocket
F#	Lisp
Crystal	stream
LSTM	MAE
Prolog	Ada
Fenwick	union_find
Scheme	SP
residual	dropout
fermion	Ada
topology	variance
Clang	Odin
Prolog	mixin
git	learning_rate
comet	Scheme
F#	diffusion
bytecode	function
binary_tree	key_value
cmake	Adam
rustc	cross_entropy
natural	complex
population	biodiversity
Julia	Pascal
loss	actor
protein	nucleus
embedding	phonology
